,43762 coal,43763 nuclear,43764 coal,43764 lignite,43764 nuclear,43765 coal,43766 coal,43767 nuclear,43768 lignite,43769 coal,43769 nuclear,43771 nuclear,43773 coal,43773 lignite,43774 nuclear
0,8.878529770861533e-06,9.26775576922463e-05,2.765940641263517e-05,1.7950606990744612e-06,1.3034345083784054e-05,1.1542789867235819e-05,1.613818544673277e-05,0.21374557589560794,0.9999984968941605,0.9999999940895968,0.9999999949500803,0.0002485916524376836,6.065779617602635e-07,1.5158667059672064e-06,1.382955582343585e-05
1,3.559383653175715e-06,3.3141470414112896e-05,1.1032456498855266e-05,6.25170728024443e-07,4.697162118328289e-06,4.62648900721017e-06,6.460310800653067e-06,0.0006524019226919277,1.209574673369761e-07,6.6745044124215e-10,4.663547550157599e-10,9.507303735329075e-05,2.417073133894023e-07,5.253167210432112e-07,4.944289067221286e-06
2,2.4408561827688906e-06,2.2467999600981548e-05,7.574793991730521e-06,4.1571681596556823e-07,3.179851962526129e-06,3.1732534833254645e-06,4.432792789981713e-06,0.000624275061672785,6.486517948168082e-08,3.649932453518994e-10,2.39615811712847e-10,6.587374673010269e-05,1.6426518582369685e-07,3.4604758323568006e-07,3.343223705393001e-06
3,2.172567662327444e-06,1.958736334212816e-05,6.741535770401854e-06,3.5060648619854913e-07,2.748380187425191e-06,2.8236573159111127e-06,3.944972649992129e-06,0.0007163765127817759,4.789497099646129e-08,2.751869432193664e-10,1.6886897904931244e-10,5.9068004170564255e-05,1.4481658212594992e-07,2.8948717872320956e-07,2.8900627293206874e-06
4,2.161685160070633e-06,1.8892584057136305e-05,6.70427370889041e-06,3.2530650242332807e-07,2.624060634987574e-06,2.809042509016914e-06,3.924229292261235e-06,0.0010269281711098373,5.330673514129909e-08,3.2649494564537813e-10,1.8343199682268816e-10,5.940501199866891e-05,1.4622588452202045e-07,2.7323423446090517e-07,2.7584338883340777e-06
5,2.2385140831010207e-06,1.946854294240909e-05,6.9736892105540395e-06,3.191979271000675e-07,2.669482165774223e-06,2.9108005754527664e-06,4.06961006499882e-06,0.001682235751196144,6.083073889646537e-08,3.134572718084356e-07,2.0599342411018032e-10,6.525535516564644e-05,1.5369147433676545e-07,2.722936030997657e-07,2.8030310716922955e-06
6,2.2845702242615965e-06,1.909614852176014e-05,7.115059540156075e-06,3.266344294558183e-07,2.8044827357561672e-06,2.970743909346062e-06,4.153251497666109e-06,0.004083991198533614,7.321442497357905e-08,0.1639563687746143,0.0019173637858647804,5.8971113576181664e-05,1.5948632501334224e-07,2.8348141180787e-07,2.920073013298097e-06
7,2.3050819830712775e-06,1.9551782615259578e-05,7.1721353208216666e-06,3.3904226152081985e-07,2.8575046385072383e-06,2.9973626372352026e-06,4.18966432967947e-06,0.010131325041590224,0.14804515391743212,0.16048366448044582,0.0018027930790970779,6.380835356609431e-05,1.5972248085392472e-07,2.922068996761731e-07,2.9877697515108384e-06
8,2.3126662353992942e-06,2.0015011676807945e-05,7.1937989030495095e-06,3.47845911424983e-07,2.9085382036430055e-06,3.0072343672084366e-06,4.203108233611234e-06,0.030274793613452453,0.14866427036460694,0.1639538820481238,0.0016634737533038064,7.017883685192637e-05,1.5964645990235288e-07,2.9823195458172464e-07,3.02255217475008e-06
9,2.3151066809195633e-06,2.0701798992345112e-05,7.2032856174595255e-06,3.5393598819254315e-07,2.9784345309461564e-06,3.0095097832283306e-06,4.206207374792423e-06,0.011129514403592654,0.00011359710530703084,6.149833731192704e-07,2.7928853173035715e-07,8.121871511389103e-05,1.5955115119989156e-07,3.023242987581807e-07,3.038179469330118e-06
