name,scn_name,bus,carrier,p_nom,p_min_pu,p_max_pu,marginal_cost,efficiency,committable,min_up_time,min_down_time,up_time_before,ramp_limit_start_up,ramp_limit_shut_down,e_nom_max,control,ramp_limit_up,weight,p_nom_opt
0 biomass,eGon2035,4,biomass,65.09529472169834,0.0,1.0,42.10810215380389,1.0,False,0,0,0,1.0,1.0,inf,Slack,,65.09529472169834,65.09529472169834
0 central_biomass_CHP,eGon2035,4,central_biomass_CHP,77.02114805887521,0.0,1.0,42.106519501888954,1.0,False,0,0,0,1.0,1.0,inf,PV,,77.02114805887521,77.02114805887521
0 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,430.032932383539,0.0,1.0,42.107816860118525,1.0,False,0,0,0,1.0,1.0,inf,PV,,430.032932383539,430.032932383539
0 load shedding,,4,load shedding,38243880.0,0.0,1.0,10000.007733789711,1.0,False,0,0,1,1.0,1.0,0.0,PQ,,38243880.0,38243880.0
0 others,eGon2035,4,others,28.950447731779718,0.0,1.0,0.00882076172624498,1.0,False,0,0,0,1.0,1.0,inf,PV,,28.950447731779718,28.950447731779718
0 reservoir,eGon2035,4,reservoir,0.19222095739250195,0.0,0.65,0.008463770768606842,1.0,False,0,0,0,1.0,1.0,inf,PV,,0.19222095739250195,0.19222095739250195
0 run_of_river,eGon2035,4,run_of_river,17.595141352277768,0.0,0.65,0.006620054044046414,1.0,False,0,0,0,1.0,1.0,inf,PV,,17.595141352277768,17.595141352277768
0 solar,eGon2035,4,solar,232.84975234565331,0.0,0.9999999999999999,0.017634768548886754,0.9999999999999999,False,0,0,0,1.0,1.0,inf,PV,,232.84975234565331,232.84975234565331
0 solar_rooftop,eGon2035,4,solar_rooftop,3858.0049300743203,0.0,1.0,0.018969261419239037,1.0,False,0,0,0,1.0,1.0,inf,PV,,3858.0049300743203,3858.0049300743203
0 wind_offshore,eGon2035,4,wind_offshore,4000.0,0.0,1.0,2.569998695175541,1.0,False,0,0,0,1.0,1.0,inf,PV,,4000.0,4000.0
0 wind_onshore,eGon2035,4,wind_onshore,6691.318701352448,0.0,0.9999999999999999,1.3085573233783054,0.9999999999999999,False,0,0,0,1.0,1.0,inf,PV,,6691.318701352448,6691.318701352448
1 biomass,eGon2035,4,biomass,77.4562072088946,0.0,0.9999999999999999,42.10850672067211,0.9999999999999999,False,0,0,0,1.0,1.0,inf,PV,,77.4562072088946,77.4562072088946
1 central_biomass_CHP,eGon2035,4,central_biomass_CHP,67.6667748843871,0.0,0.9999999999999999,42.11017156735256,0.9999999999999999,False,0,0,0,1.0,1.0,inf,PV,,67.6667748843871,67.6667748843871
1 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,334.09967652669656,0.0,1.0,42.107561375509796,1.0,False,0,0,0,1.0,1.0,inf,PV,,334.09967652669656,334.09967652669656
1 load shedding,,4,load shedding,59823760.0,0.0,1.0,10000.008180034285,1.0,False,0,0,1,1.0,1.0,0.0,PQ,,59823760.0,59823760.0
1 oil,eGon2035,4,oil,17.0,0.0,1.0,101.83419863104844,1.0,False,0,0,0,1.0,1.0,inf,PV,,17.0,17.0
1 run_of_river,eGon2035,4,run_of_river,70.97177400765194,0.0,0.65,0.007762806033841013,1.0,False,0,0,0,1.0,1.0,inf,PV,,70.97177400765194,70.97177400765194
1 solar,eGon2035,4,solar,3731.79194988125,0.0,1.0,0.018456822087496872,1.0,False,0,0,0,1.0,1.0,inf,PV,,3731.79194988125,3731.79194988125
1 solar_rooftop,eGon2035,4,solar_rooftop,4239.909618120246,0.0,1.0,0.017631227062247113,1.0,False,0,0,0,1.0,1.0,inf,PV,,4239.909618120246,4239.909618120246
1 wind_onshore,eGon2035,4,wind_onshore,6929.171739067655,0.0,1.0,1.308490231233402,1.0,False,0,0,0,1.0,1.0,inf,PV,,6929.171739067655,6929.171739067655
10 biomass,eGon2035,4,biomass,32.66475093096963,0.0,1.0,42.108092627652915,1.0,False,0,0,0,1.0,1.0,inf,PV,,32.66475093096963,32.66475093096963
10 central_biomass_CHP,eGon2035,4,central_biomass_CHP,42.7812971690574,0.0,0.9999999999999998,42.10707371559063,0.9999999999999998,False,0,0,0,1.0,1.0,inf,PV,,42.7812971690574,42.7812971690574
10 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,578.8251278990714,0.0,1.0000000000000002,42.1082698594517,1.0000000000000002,False,0,0,0,1.0,1.0,inf,PV,,578.8251278990714,578.8251278990714
10 load shedding,,4,load shedding,36160880.0,0.0,1.0,10000.00814906206,1.0,False,0,0,1,1.0,1.0,0.0,PQ,,36160880.0,36160880.0
10 run_of_river,eGon2035,4,run_of_river,48.74877924374912,0.0,0.65,0.00808607387625512,1.0,False,0,0,0,1.0,1.0,inf,PV,,48.74877924374912,48.74877924374912
10 solar,eGon2035,4,solar,537.7648726442037,0.0,0.9999999999999999,0.018177627282477567,0.9999999999999999,False,0,0,0,1.0,1.0,inf,PV,,537.7648726442037,537.7648726442037
10 solar_rooftop,eGon2035,4,solar_rooftop,4763.212805016866,0.0,0.9999999999999999,0.018718942918359818,0.9999999999999999,False,0,0,0,1.0,1.0,inf,PV,,4763.212805016866,4763.212805016866
10 wind_onshore,eGon2035,4,wind_onshore,6039.965098884806,0.0,1.0,1.308482579684231,1.0,False,0,0,0,1.0,1.0,inf,PV,,6039.965098884806,6039.965098884806
11 biomass,eGon2035,4,biomass,40.68933585022708,0.0,1.0,42.10825206329684,1.0,False,0,0,0,1.0,1.0,inf,PV,,40.68933585022708,40.68933585022708
11 central_biomass_CHP,eGon2035,4,central_biomass_CHP,40.121185105571634,0.0,1.0,42.10888501086535,1.0,False,0,0,0,1.0,1.0,inf,PV,,40.121185105571634,40.121185105571634
11 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,512.5684207612536,0.0,1.0,42.1090953926801,1.0,False,0,0,0,1.0,1.0,inf,PV,,512.5684207612536,512.5684207612536
11 load shedding,,4,load shedding,44909480.0,0.0,1.0,10000.008133670979,1.0,False,0,0,1,1.0,1.0,0.0,PQ,,44909480.0,44909480.0
11 others,eGon2035,4,others,12.931823721898391,0.0,1.0,0.008497570158055542,1.0,False,0,0,0,1.0,1.0,inf,PV,,12.931823721898391,12.931823721898391
11 run_of_river,eGon2035,4,run_of_river,732.4428639386838,0.0,0.65,0.00711606504150233,1.0,False,0,0,0,1.0,1.0,inf,PV,,732.4428639386838,732.4428639386838
11 solar,eGon2035,4,solar,1139.422388728369,0.0,1.0,0.018009536513599673,1.0,False,0,0,0,1.0,1.0,inf,PV,,1139.422388728369,1139.422388728369
11 solar_rooftop,eGon2035,4,solar_rooftop,6654.882737030532,0.0,1.0,0.018440000860135714,1.0,False,0,0,0,1.0,1.0,inf,PV,,6654.882737030532,6654.882737030532
11 wind_onshore,eGon2035,4,wind_onshore,1263.623938834104,0.0,1.0,1.3068357866635119,1.0,False,0,0,0,1.0,1.0,inf,PV,,1263.623938834104,1263.623938834104
12 biomass,eGon2035,4,biomass,61.23747683795517,0.0,1.0,42.1075690769614,1.0,False,0,0,0,1.0,1.0,inf,PV,,61.23747683795517,61.23747683795517
12 central_biomass_CHP,eGon2035,4,central_biomass_CHP,86.44754391233812,0.0,0.9999999999999999,42.108266516048424,0.9999999999999999,False,0,0,0,1.0,1.0,inf,PV,,86.44754391233812,86.44754391233812
12 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,549.8712268931787,0.0,0.9999999999999999,42.10782046611539,0.9999999999999999,False,0,0,0,1.0,1.0,inf,PV,,549.8712268931787,549.8712268931787
12 load shedding,,4,load shedding,42493200.0,0.0,1.0,10000.008230720658,1.0,False,0,0,1,1.0,1.0,0.0,PQ,,42493200.0,42493200.0
12 solar,eGon2035,4,solar,5106.789353410216,0.0,1.0,0.017263314857896363,1.0,False,0,0,0,1.0,1.0,inf,PV,,5106.789353410216,5106.789353410216
12 solar_rooftop,eGon2035,4,solar_rooftop,3697.7283327067694,0.0,1.0,0.018406994908682812,1.0,False,0,0,0,1.0,1.0,inf,PV,,3697.7283327067694,3697.7283327067694
12 wind_offshore,eGon2035,4,wind_offshore,636.0,0.0,1.0,2.5782202063443957,1.0,False,0,0,0,1.0,1.0,inf,PV,,636.0,636.0
12 wind_onshore,eGon2035,4,wind_onshore,11303.732302888911,0.0,1.0,1.3090023765188263,1.0,False,0,0,0,1.0,1.0,inf,PV,,11303.732302888911,11303.732302888911
13 biomass,eGon2035,4,biomass,66.35658749911941,0.0,1.0000000000000002,42.10935495974425,1.0000000000000002,False,0,0,0,1.0,1.0,inf,PV,,66.35658749911941,66.35658749911941
13 central_biomass_CHP,eGon2035,4,central_biomass_CHP,71.99521987802356,0.0,1.0,42.109290139006326,1.0,False,0,0,0,1.0,1.0,inf,PV,,71.99521987802356,71.99521987802356
13 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,280.3761683834677,0.0,1.0000000000000002,42.10694820672013,1.0000000000000002,False,0,0,0,1.0,1.0,inf,PV,,280.3761683834677,280.3761683834677
13 load shedding,,4,load shedding,77487600.0,0.0,1.0,10000.008416640942,1.0,False,0,0,1,1.0,1.0,0.0,PQ,,77487600.0,77487600.0
13 others,eGon2035,4,others,80.09934767980931,0.0,1.0,0.0028531904401583406,1.0,False,0,0,0,1.0,1.0,inf,PV,,80.09934767980931,80.09934767980931
13 reservoir,eGon2035,4,reservoir,7.230152066424107,0.0,0.65,0.008566319686767498,1.0,False,0,0,0,1.0,1.0,inf,PV,,7.230152066424107,7.230152066424107
13 run_of_river,eGon2035,4,run_of_river,407.94309859983855,0.0,0.65,0.007550435361697894,1.0,False,0,0,0,1.0,1.0,inf,PV,,407.94309859983855,407.94309859983855
