name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,marginal_cost_quadratic,stand_by_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
0,eGon2035,4,36278,dsm,208.42357514268048,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,208.42357514268048,DE,inf,False,,,,,,1.0,1.0
1,eGon2035,4,48637,power_to_H2,0.0,True,inf,137.26909325666216,0.0,0.7,0.0,0.0,1.0,0.0,0.009074456247411091,DE,31.0,False,,,,,,1.0,1.0
2,eGon2035,4,51537,central_heat_pump,0.1582363793445323,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1582363793445323,DE,inf,False,,,,,,1.0,1.0
3,eGon2035,4,51537,central_resistive_heater,0.23487639409318414,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.23487639409318414,DE,inf,False,,,,,,1.0,1.0
4,eGon2035,4,52023,rural_heat_pump,1993.0087965971513,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1993.0087965971513,DE,inf,False,,,,,,1.0,1.0
5,eGon2035,4,69893,BEV charger,3413.706825196743,False,inf,0.0,0.0,0.9,0.0,0.0,1.0,0.0,3413.706825196743,DE,inf,False,,,,,,1.0,1.0
6,eGon2035,4,70582,power_to_H2,0.0,True,inf,137.26909325666216,0.0,0.6999999999999998,0.0,0.0,1.0,0.0,660.0786650446342,DE,31.0,False,,,,,,1.0,1.0
7,eGon2035,4,70592,central_heat_pump,1.4881383657426768,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.4881383657426768,DE,inf,False,,,,,,1.0,1.0
8,eGon2035,4,70592,central_resistive_heater,7.8782150133546,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.8782150133546,DE,inf,False,,,,,,1.0,1.0
9,eGon2035,4,36278,dsm,243.19088882545404,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,243.19088882545404,DE,inf,False,,,,,,1.0,1.0
10,eGon2035,4,48637,power_to_H2,0.0,True,inf,137.26909325666216,0.0,0.7,0.0,0.0,1.0,0.0,0.009074456247419668,DE,31.0,False,,,,,,1.0,1.0
11,eGon2035,4,52023,rural_heat_pump,1868.8177067574995,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1868.8177067574995,DE,inf,False,,,,,,1.0,1.0
12,eGon2035,4,69893,BEV charger,3259.483454465866,False,inf,0.0,0.0,0.9,0.0,0.0,1.0,0.0,3259.483454465866,DE,inf,False,,,,,,1.0,1.0
13,eGon2035,4,70582,power_to_H2,0.0,True,inf,137.26909325666216,0.0,0.7,0.0,0.0,1.0,0.0,660.0788873064419,DE,31.0,False,,,,,,1.0,1.0
14,eGon2035,4,70594,central_heat_pump,86.0030645647756,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,86.0030645647756,DE,inf,False,,,,,,1.0,1.0
15,eGon2035,4,70594,central_resistive_heater,89.11085271755215,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,89.11085271755215,DE,inf,False,,,,,,1.0,1.0
16,eGon2035,4,36278,dsm,218.57019001492742,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,218.57019001492742,DE,inf,False,,,,,,1.0,1.0
17,eGon2035,4,48637,power_to_H2,0.0,True,inf,137.26909325666216,0.0,0.7,0.0,0.0,1.0,0.0,0.00907445624740744,DE,31.0,False,,,,,,1.0,1.0
18,eGon2035,4,51537,central_heat_pump,12.959808400556144,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.959808400556144,DE,inf,False,,,,,,1.0,1.0
19,eGon2035,4,51537,central_resistive_heater,19.23674617600737,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,19.23674617600737,DE,inf,False,,,,,,1.0,1.0
20,eGon2035,4,51728,central_heat_pump,0.5704240268908721,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5704240268908721,DE,inf,False,,,,,,1.0,1.0
21,eGon2035,4,51728,central_resistive_heater,0.7273532654447772,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7273532654447772,DE,inf,False,,,,,,1.0,1.0
22,eGon2035,4,52023,rural_heat_pump,1787.8767242409126,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1787.8767242409126,DE,inf,False,,,,,,1.0,1.0
23,eGon2035,4,69893,BEV charger,3247.5289912223816,False,inf,0.0,0.0,0.9,0.0,0.0,1.0,0.0,3247.5289912223816,DE,inf,False,,,,,,1.0,1.0
24,eGon2035,4,70582,power_to_H2,0.0,True,inf,137.26909325666216,0.0,0.7,0.0,0.0,1.0,0.0,660.0793833163457,DE,31.0,False,,,,,,1.0,1.0
25,eGon2035,4,70595,central_heat_pump,10.194900475732226,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.194900475732226,DE,inf,False,,,,,,1.0,1.0
26,eGon2035,4,70595,central_resistive_heater,10.053575954622117,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.053575954622117,DE,inf,False,,,,,,1.0,1.0
27,eGon2035,4,70604,central_heat_pump,0.5070655958661294,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5070655958661294,DE,inf,False,,,,,,1.0,1.0
28,eGon2035,4,70604,central_resistive_heater,0.6828375821865909,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6828375821865909,DE,inf,False,,,,,,1.0,1.0
