name,scn_name,bus,carrier,p_set
0 AC,eGon2035,0,AC,0.0
0 H2_for_industry,eGon2035,0,H2_for_industry,415.02148427083335
1 AC,eGon2035,1,AC,0.0
1 H2_for_industry,eGon2035,1,H2_for_industry,1598.13083625
10 AC,eGon2035,10,AC,0.0
10 H2_for_industry,eGon2035,10,H2_for_industry,609.9109516041666
11 AC,eGon2035,11,AC,0.0
11 H2_for_industry,eGon2035,11,H2_for_industry,1201.6882454166666
2 AC,eGon2035,2,AC,0.0
3 AC,eGon2035,3,AC,0.0
3 H2_for_industry,eGon2035,3,H2_for_industry,517.5741359166666
4 AC,eGon2035,4,AC,0.0
48623 CH4,eGon2035,48623,CH4,0.0
48624 CH4,eGon2035,48624,CH4,0.0
48625 CH4,eGon2035,48625,CH4,0.0
48626 CH4,eGon2035,48626,CH4,0.0
48627 CH4,eGon2035,48627,CH4,0.0
48628 CH4,eGon2035,48628,CH4,0.0
48629 CH4,eGon2035,48629,CH4,0.0
48630 CH4,eGon2035,48630,CH4,0.0
48631 CH4,eGon2035,48631,CH4,0.0
48632 CH4,eGon2035,48632,CH4,0.0
48633 CH4,eGon2035,48633,CH4,0.0
48634 CH4,eGon2035,48634,CH4,0.0
49604 central_heat,eGon2035,49604,central_heat,0.0
49934 central_heat,eGon2035,49934,central_heat,0.0
5 AC,eGon2035,5,AC,0.0
5 H2_for_industry,eGon2035,5,H2_for_industry,1529.8526683333332
51537 central_heat,eGon2035,51537,central_heat,0.0
51728 central_heat,eGon2035,51728,central_heat,0.0
52023 rural_heat,eGon2035,52023,rural_heat,0.0
6 AC,eGon2035,6,AC,0.0
6 H2_for_industry,eGon2035,6,H2_for_industry,1651.7463891666666
69893 land transport EV,eGon2035,69893,land transport EV,0.0
7 AC,eGon2035,7,AC,0.0
7 H2_for_industry,eGon2035,7,H2_for_industry,1726.8721004166664
70568 CH4_for_industry,eGon2035,70568,CH4_for_industry,0.0
70568 rural_gas_boiler,eGon2035,70568,rural_gas_boiler,0.0
70582 H2_for_industry,eGon2035,70582,H2_for_industry,0.0
70582 H2_hgv_load,eGon2035,70582,H2_hgv_load,0.0
70583 central_heat,eGon2035,70583,central_heat,0.0
70584 central_heat,eGon2035,70584,central_heat,0.0
70585 central_heat,eGon2035,70585,central_heat,0.0
70587 central_heat,eGon2035,70587,central_heat,0.0
70589 central_heat,eGon2035,70589,central_heat,0.0
70590 central_heat,eGon2035,70590,central_heat,0.0
70591 central_heat,eGon2035,70591,central_heat,0.0
70592 central_heat,eGon2035,70592,central_heat,0.0
70593 central_heat,eGon2035,70593,central_heat,0.0
70594 central_heat,eGon2035,70594,central_heat,0.0
70595 central_heat,eGon2035,70595,central_heat,0.0
70596 central_heat,eGon2035,70596,central_heat,0.0
70597 central_heat,eGon2035,70597,central_heat,0.0
70598 central_heat,eGon2035,70598,central_heat,0.0
70599 central_heat,eGon2035,70599,central_heat,0.0
70601 central_heat,eGon2035,70601,central_heat,0.0
70602 central_heat,eGon2035,70602,central_heat,0.0
70604 central_heat,eGon2035,70604,central_heat,0.0
8 AC,eGon2035,8,AC,0.0
8 H2_for_industry,eGon2035,8,H2_for_industry,1694.1099472916665
9 AC,eGon2035,9,AC,0.0
