,0 battery,0 pumped_hydro,1 battery,1 pumped_hydro,10 battery,10 pumped_hydro,11 battery,2 battery,2 pumped_hydro,3 battery,3 pumped_hydro,4 battery,4 pumped_hydro,5 battery,6 battery,6 pumped_hydro,7 battery,7 pumped_hydro,8 battery
0,-445.5206020917098,-175.94633968567905,-48.13724733336126,-56.60291476205354,-25.720530817120977,-30.41441802342834,-1515.0089693271855,-378.8682176698628,-506.394114950334,-434.1210042044939,-310.51698804413985,-485.5550593723293,-516.0618494105187,-699.6616252070414,-54.56196325998116,-54.439244372520044,1860.3976589801969,1433.3597078306486,-372.35923977543183
1,-693.1412254687826,-154.29624681139956,-63.383732120568624,-95.23201957658706,-294.13825596104493,-801.8191893770185,-986.2181101094633,-453.1123200268386,-1198.8172065959077,-535.8694627044165,-341.73485977574427,-1411.5634025797842,-1367.0355327573538,-464.0048769428122,-105.54545362721046,-104.34552617530508,1170.4382527531016,1024.4065887949862,-941.8089398357894
2,-757.5087406435977,-137.4674490279796,-87.31882344643923,-148.3978173649658,-388.8210468476564,-1156.9858087335049,-870.2500356502183,-444.05216183786337,-1828.7352494326449,-568.8182983014306,-308.41338116754815,-3602.7513831966626,-2770.396009531629,-400.0100711195044,-319.0801519585041,-146.71065391079108,595.3267229528223,573.5322264979715,-1268.4900051370319
3,-728.862026038323,-125.56420421127228,-87.73262774938334,-959.0181260624105,-624.9728047514133,-1323.0777967745041,-750.8301015810297,-413.28026612065014,-2040.7880657133724,-522.727047325966,-290.5057012936105,-7463.622736479629,-3629.4974499108966,-393.21794674333773,-3219.260595677308,-29.671574322762375,-1560.2354764514812,-2037.042306532007,-1341.9197262976395
4,-716.4275121333027,-117.40949358297772,-37.999416318176436,-672.2690164789196,-624.9725420565969,-1323.0775663965921,-1194.3771881979244,-393.6496591198846,-2168.8263766868768,-512.60914780763,-290.55379498873015,-11567.892822191076,-4176.706760008,-364.755592310251,-5099.364246046621,-580.7790209559344,-4532.864363085313,-3642.002239026849,-1381.2164835230083
5,-746.0287416754234,-113.22925430517721,-25.59925291313686,-1228.8742624852437,-624.9727283097734,-1323.0777208544182,-913.0850739777336,-392.79278464253156,-2494.6387618790623,-501.72646882233045,-274.85833641234126,-14318.938120625247,-4966.858171648277,-354.08571150267244,-3744.7079895130832,-1782.1344345585544,-4949.000421473178,-4003.9996805495825,-1460.1277353263158
6,-693.6790102319732,-108.9734865153123,-90.43899204937266,-1091.00395241545,-122.07157982014198,-545.3785405753456,-751.1983551860421,-371.0864206766062,-2318.4307837168853,-538.3850945361877,-264.9461363910744,-13757.241590032187,-4675.9131519150405,-336.7831058294611,-3677.573187124371,-1628.1196313175474,-4949.00042103969,-4003.9996809891995,-1436.3891612283176
7,-603.1741029093288,-105.33426069002084,-36.5943897883723,-727.0938089193467,-96.81795829745988,-173.6634370133057,-501.8488237221385,-336.7898375466677,-1834.7783682738625,-591.936568981264,-287.7914547233772,-9003.712163719594,-3470.680983638327,-326.40307126517763,-3112.643879285649,-770.4113414910354,-4949.000421052254,-4003.9996810098173,-1355.9403589653823
8,-432.95174343633823,-98.73269915115229,-92.36683839466235,-163.2921607522307,-0.45069457706268456,-0.7634136078777791,-449.1584934331992,-277.8892070554472,-876.7797835917677,-347.10123796647895,-194.83057612995626,-1252.8671145234723,-1092.868016868148,-291.0620102303471,-251.54358803837226,-141.79440903442398,-4949.000421038761,-4003.999681335717,-929.3582161105282
9,-432.9976511279411,-99.88990975015419,-25.056101028412982,-30.153268205208384,-133.79641455255572,-189.78482399249972,-442.93654995092913,-278.7771981800808,-843.3240694908714,-344.5131397414153,-203.57542624259776,-1178.1863344688095,-1042.0897132376829,-352.09534675321777,-32.58974398813294,-29.794737878718784,-3725.866994671269,-3261.1448548509843,-326.45898219906593
