name,scn_name,bus,carrier,e_nom,e_nom_extendable,e_nom_max,e_initial,e_cyclic,capital_cost,e_nom_opt
36278 dsm,eGon2035,36278,dsm,6157.940385799358,False,inf,0.0,True,0.0,6157.940385799358
48623 CH4,eGon2035,48623,CH4,103258761.6825082,False,inf,0.0,True,0.0,103258761.6825082
48624 CH4,eGon2035,48624,CH4,7796579.6970679015,False,inf,0.0,True,0.0,7796579.6970679015
48626 CH4,eGon2035,48626,CH4,16558557.363773989,False,inf,0.0,True,0.0,16558557.363773989
48627 CH4,eGon2035,48627,CH4,4467164.898,False,inf,0.0,True,0.0,4467164.898
48628 CH4,eGon2035,48628,CH4,110961282.95347735,False,inf,0.0,True,0.0,110961282.95347735
48629 CH4,eGon2035,48629,CH4,45093072.66459372,False,inf,0.0,True,0.0,45093072.66459372
48631 CH4,eGon2035,48631,CH4,98781272.36350779,False,inf,0.0,True,0.0,98781272.36350779
48633 CH4,eGon2035,48633,CH4,40085545.400267825,False,inf,0.0,True,0.0,40085545.400267825
48634 CH4,eGon2035,48634,CH4,3268835.936014453,False,inf,0.0,True,0.0,3268835.936014453
48637 H2_underground,eGon2035,48637,H2_underground,0.0,True,8116755.156723482,0.0,True,0.5032562307171483,3.5368398294482315
63629 central_heat_store,eGon2035,63629,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469972,548816541.4087805
63959 central_heat_store,eGon2035,63959,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469972,2506202416.0596886
65562 central_heat_store,eGon2035,65562,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469972,25.593866842321223
65753 central_heat_store,eGon2035,65753,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469972,35.157552848992935
66048 rural_heat_store,eGon2035,66048,rural_heat_store,0.0,True,inf,0.0,True,8.418143564868183,75912.72626333874
69893 battery storage,eGon2035,69893,battery storage,915446.162,False,inf,721406.073560712,True,0.0,915446.162
70568 CH4,eGon2035,70568,CH4,303448627.87990415,False,inf,0.0,True,0.0,303448627.87990415
70582 H2_overground,eGon2035,70582,H2_overground,0.0,True,inf,0.0,True,13.359307272764557,48730.75179840407
70605 central_heat_store,eGon2035,70605,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469974,8.545319910232953
70606 central_heat_store,eGon2035,70606,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469974,8.60278500333406
70607 central_heat_store,eGon2035,70607,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469974,8.649916382308907
70608 central_heat_store,eGon2035,70608,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469974,8.70028110132761
70609 central_heat_store,eGon2035,70609,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469972,8.544814470540384
70610 central_heat_store,eGon2035,70610,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469974,8.693005143988044
70611 central_heat_store,eGon2035,70611,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469974,21249246769.546246
70612 central_heat_store,eGon2035,70612,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469972,8.606348525795323
70613 central_heat_store,eGon2035,70613,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469972,55.996510402213126
70614 central_heat_store,eGon2035,70614,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469972,9.538722694742201
70615 central_heat_store,eGon2035,70615,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469972,8.578166615611392
70616 central_heat_store,eGon2035,70616,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469972,4810834528.1006
70617 central_heat_store,eGon2035,70617,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469972,75239635506.7293
70618 central_heat_store,eGon2035,70618,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469972,40.931899321637296
70619 central_heat_store,eGon2035,70619,central_heat_store,0.0,True,inf,0.0,True,0.2105894851346997,980.6632882581994
70620 central_heat_store,eGon2035,70620,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469972,2379019.349402255
70621 central_heat_store,eGon2035,70621,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469972,8.428679895746123
70622 central_heat_store,eGon2035,70622,central_heat_store,0.0,True,inf,0.0,True,0.21058948513469972,9.464004942580734
