name,scn_name,bus,carrier,p_nom,p_min_pu,p_max_pu,marginal_cost,efficiency,committable,start_up_cost,min_up_time,min_down_time,up_time_before,ramp_limit_start_up,ramp_limit_shut_down,e_nom_max,control,ramp_limit_up,weight,p_nom_opt
0 biomass,eGon2035,4,biomass,34.10751896061158,0.0,1.0,42.10920812533299,1.0,False,0.0,0,0,0,1.0,1.0,inf,Slack,,34.10751896061158,34.10751896061158
0 central_biomass_CHP,eGon2035,4,central_biomass_CHP,24.099681245728824,0.0,1.0,42.107955399554854,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,24.099681245728824,24.099681245728824
0 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,512.4212763290095,0.0,0.9999999999999999,42.10907661257097,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,512.4212763290095,512.4212763290095
0 load shedding,,4,load shedding,23616810.0,0.0,1.0,10000.007868725801,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,23616810.0,23616810.0
0 others,eGon2035,4,others,9.941199641923326,0.0,1.0,0.010585473663822278,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,9.941199641923326,9.941199641923326
0 run_of_river,eGon2035,4,run_of_river,203.6086194345923,0.0,0.6500000000000001,0.008844063868532051,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,203.6086194345923,203.6086194345923
0 solar,eGon2035,4,solar,729.887084447619,0.0,0.9999999999999998,0.01732343457669009,0.9999999999999998,False,0.0,0,0,0,1.0,1.0,inf,PV,,729.887084447619,729.887084447619
0 solar_rooftop,eGon2035,4,solar_rooftop,2372.2394257100113,0.0,0.9999999999999999,0.018016746513846753,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,2372.2394257100113,2372.2394257100113
0 wind_onshore,eGon2035,4,wind_onshore,1075.7797219293893,0.0,1.0,1.3077869403452997,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,1075.7797219293893,1075.7797219293893
1 biomass,eGon2035,4,biomass,0.44546628406849664,0.0,1.0,42.105531930561725,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,0.44546628406849664,0.44546628406849664
1 central_biomass_CHP,eGon2035,4,central_biomass_CHP,9.565180861046683,0.0,1.0,42.10655790921378,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,9.565180861046683,9.565180861046683
1 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,54.12898387161947,0.0,1.0,42.10818787014142,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,54.12898387161947,54.12898387161947
1 load shedding,,4,load shedding,2308410.0,0.0,1.0,10000.008348831176,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,2308410.0,2308410.0
1 solar,eGon2035,4,solar,211.03316342650913,0.0,1.0,0.017575097521957947,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,211.03316342650913,211.03316342650913
1 solar_rooftop,eGon2035,4,solar_rooftop,115.9418571159321,0.0,0.9999999999999998,0.01821176496428022,0.9999999999999998,False,0.0,0,0,0,1.0,1.0,inf,PV,,115.9418571159321,115.9418571159321
1 wind_offshore,eGon2035,4,wind_offshore,4000.0,0.0,1.0,2.5688323532094923,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,4000.0,4000.0
1 wind_onshore,eGon2035,4,wind_onshore,2292.2952521985417,0.0,1.0,1.3097787498237747,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,2292.2952521985417,2292.2952521985417
10 biomass,eGon2035,4,biomass,37.834620401774615,0.0,1.0,42.10963763859917,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,37.834620401774615,37.834620401774615
10 central_biomass_CHP,eGon2035,4,central_biomass_CHP,82.28235667722365,0.0,1.0,42.10559071627462,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,82.28235667722365,82.28235667722365
