name,scn_name,bus0,bus1,carrier,p_nom,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
0,eGon2035,4,36178,dsm,113.40489597400297,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,113.40489597400297,DE,inf,False,,,0.0,,,1.0,1.0
1,eGon2035,4,49887,central_heat_pump,2.3876295405082346,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.3876295405082346,DE,inf,False,,,0.0,,,1.0,1.0
2,eGon2035,4,49887,central_resistive_heater,3.0823190560579423,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0823190560579423,DE,inf,False,,,0.0,,,1.0,1.0
3,eGon2035,4,49894,central_heat_pump,3.5380800684931772,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.5380800684931772,DE,inf,False,,,0.0,,,1.0,1.0
4,eGon2035,4,49894,central_resistive_heater,4.516366540071676,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.516366540071676,DE,inf,False,,,0.0,,,1.0,1.0
5,eGon2035,4,49934,central_heat_pump,0.9606688920098518,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9606688920098518,DE,inf,False,,,0.0,,,1.0,1.0
6,eGon2035,4,49934,central_resistive_heater,1.2242190332193101,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.2242190332193101,DE,inf,False,,,0.0,,,1.0,1.0
7,eGon2035,4,52023,rural_heat_pump,957.0526401608732,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,957.0526401608732,DE,inf,False,,,0.0,,,1.0,1.0
8,eGon2035,4,69893,BEV charger,1799.485490143299,inf,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1799.485490143299,DE,inf,False,,,0.0,,,1.0,1.0
9,eGon2035,4,72129,power_to_H2,1.9999529085758758,2.0,461.22415334238485,0.0,0.7,0.0,0.0,1.0,0.0,1.9999529085758758,DE,31.0,False,,,0.0,,,1.0,1.0
10,eGon2035,4,72160,power_to_H2,29.564741903004045,inf,461.22415334238485,0.0,0.7,0.0,0.0,1.0,0.0,29.564741903004045,DE,31.0,False,,,0.0,,,1.0,1.0
11,eGon2035,4,72209,power_to_H2,50.221723041431545,inf,461.22415334238485,0.0,0.7,0.0,0.0,1.0,0.0,50.221723041431545,DE,31.0,False,,,0.0,,,1.0,1.0
12,eGon2035,4,72232,central_heat_pump,8.094842780384598,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.094842780384598,DE,inf,False,,,0.0,,,1.0,1.0
13,eGon2035,4,72232,central_resistive_heater,5.544748203971524,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.544748203971524,DE,inf,False,,,0.0,,,1.0,1.0
14,eGon2035,4,72249,central_heat_pump,2.7921310441166263,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.7921310441166263,DE,inf,False,,,0.0,,,1.0,1.0
15,eGon2035,4,72249,central_resistive_heater,1.0162300839314453,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0162300839314453,DE,inf,False,,,0.0,,,1.0,1.0
16,eGon2035,4,72254,central_heat_pump,0.29435945002017705,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.29435945002017705,DE,inf,False,,,0.0,,,1.0,1.0
17,eGon2035,4,72254,central_resistive_heater,0.05659005208166025,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.05659005208166025,DE,inf,False,,,0.0,,,1.0,1.0
18,eGon2035,4,72262,central_heat_pump,0.2305196975399867,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2305196975399867,DE,inf,False,,,0.0,,,1.0,1.0
19,eGon2035,4,72262,central_resistive_heater,0.06542547488642293,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.06542547488642293,DE,inf,False,,,0.0,,,1.0,1.0
20,eGon2035,4,72270,central_resistive_heater,0.026251578374568367,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.026251578374568367,DE,inf,False,,,0.0,,,1.0,1.0
21,eGon2035,4,36178,dsm,4.417559362422985,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.417559362422985,DE,inf,False,,,0.0,,,1.0,1.0
22,eGon2035,4,48637,power_to_H2,0.14523415048878824,inf,461.22415334238485,0.0,0.7,0.0,0.0,1.0,0.0,0.14523415048878824,DE,31.0,False,,,0.0,,,1.0,1.0
23,eGon2035,4,51941,central_resistive_heater,0.020721013208361658,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.020721013208361658,DE,inf,False,,,0.0,,,1.0,1.0
24,eGon2035,4,51954,central_resistive_heater,0.0474422374516918,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0474422374516918,DE,inf,False,,,0.0,,,1.0,1.0
25,eGon2035,4,52023,rural_heat_pump,67.14937846958105,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,67.14937846958105,DE,inf,False,,,0.0,,,1.0,1.0
26,eGon2035,4,69893,BEV charger,128.08203125,inf,0.0,0.0,0.9,0.0,0.0,1.0,0.0,128.08203125,DE,inf,False,,,0.0,,,1.0,1.0
27,eGon2035,4,72207,power_to_H2,0.9999579034533319,1.0,461.22415334238485,0.0,0.7,0.0,0.0,1.0,0.0,0.9999579034533319,DE,31.0,False,,,0.0,,,1.0,1.0
28,eGon2035,4,72544,central_heat_pump,0.18648937560921772,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.18648937560921772,DE,inf,False,,,0.0,,,1.0,1.0
29,eGon2035,4,72544,central_resistive_heater,0.08436312533778667,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.08436312533778667,DE,inf,False,,,0.0,,,1.0,1.0
