name,scn_name,bus,carrier,p_set
0 AC,eGon2035,0,AC,0.0
0 H2_for_industry,eGon2035,0,H2_for_industry,415.02148427083335
1 AC,eGon2035,1,AC,0.0
1 H2_for_industry,eGon2035,1,H2_for_industry,1598.13083625
10 AC,eGon2035,10,AC,0.0
10 H2_for_industry,eGon2035,10,H2_for_industry,609.9109516041666
11 AC,eGon2035,11,AC,0.0
11 H2_for_industry,eGon2035,11,H2_for_industry,1201.6882454166666
2 AC,eGon2035,2,AC,0.0
3 AC,eGon2035,3,AC,0.0
3 H2_for_industry,eGon2035,3,H2_for_industry,517.5741359166666
4 AC,eGon2035,4,AC,0.0
48623 CH4,eGon2035,48623,CH4,0.0
48624 CH4,eGon2035,48624,CH4,0.0
48625 CH4,eGon2035,48625,CH4,0.0
48626 CH4,eGon2035,48626,CH4,0.0
48627 CH4,eGon2035,48627,CH4,0.0
48628 CH4,eGon2035,48628,CH4,0.0
48629 CH4,eGon2035,48629,CH4,0.0
48630 CH4,eGon2035,48630,CH4,0.0
48631 CH4,eGon2035,48631,CH4,0.0
48632 CH4,eGon2035,48632,CH4,0.0
48633 CH4,eGon2035,48633,CH4,0.0
48634 CH4,eGon2035,48634,CH4,0.0
49541 central_heat,eGon2035,49541,central_heat,0.0
49604 central_heat,eGon2035,49604,central_heat,0.0
49610 central_heat,eGon2035,49610,central_heat,0.0
49649 central_heat,eGon2035,49649,central_heat,0.0
49717 central_heat,eGon2035,49717,central_heat,0.0
49735 central_heat,eGon2035,49735,central_heat,0.0
49765 central_heat,eGon2035,49765,central_heat,0.0
49887 central_heat,eGon2035,49887,central_heat,0.0
49894 central_heat,eGon2035,49894,central_heat,0.0
49934 central_heat,eGon2035,49934,central_heat,0.0
49970 central_heat,eGon2035,49970,central_heat,0.0
49975 central_heat,eGon2035,49975,central_heat,0.0
49977 central_heat,eGon2035,49977,central_heat,0.0
5 AC,eGon2035,5,AC,0.0
5 H2_for_industry,eGon2035,5,H2_for_industry,1529.8526683333332
50013 central_heat,eGon2035,50013,central_heat,0.0
50085 central_heat,eGon2035,50085,central_heat,0.0
50134 central_heat,eGon2035,50134,central_heat,0.0
50202 central_heat,eGon2035,50202,central_heat,0.0
50364 central_heat,eGon2035,50364,central_heat,0.0
50366 central_heat,eGon2035,50366,central_heat,0.0
50419 central_heat,eGon2035,50419,central_heat,0.0
50472 central_heat,eGon2035,50472,central_heat,0.0
50508 central_heat,eGon2035,50508,central_heat,0.0
50556 central_heat,eGon2035,50556,central_heat,0.0
50568 central_heat,eGon2035,50568,central_heat,0.0
50580 central_heat,eGon2035,50580,central_heat,0.0
50585 central_heat,eGon2035,50585,central_heat,0.0
50645 central_heat,eGon2035,50645,central_heat,0.0
50690 central_heat,eGon2035,50690,central_heat,0.0
50729 central_heat,eGon2035,50729,central_heat,0.0
50734 central_heat,eGon2035,50734,central_heat,0.0
50814 central_heat,eGon2035,50814,central_heat,0.0
50826 central_heat,eGon2035,50826,central_heat,0.0
50832 central_heat,eGon2035,50832,central_heat,0.0
50849 central_heat,eGon2035,50849,central_heat,0.0
50858 central_heat,eGon2035,50858,central_heat,0.0
50889 central_heat,eGon2035,50889,central_heat,0.0
50892 central_heat,eGon2035,50892,central_heat,0.0
50895 central_heat,eGon2035,50895,central_heat,0.0
50961 central_heat,eGon2035,50961,central_heat,0.0
50976 central_heat,eGon2035,50976,central_heat,0.0
50980 central_heat,eGon2035,50980,central_heat,0.0
50981 central_heat,eGon2035,50981,central_heat,0.0
50996 central_heat,eGon2035,50996,central_heat,0.0
51011 central_heat,eGon2035,51011,central_heat,0.0
51040 central_heat,eGon2035,51040,central_heat,0.0
51093 central_heat,eGon2035,51093,central_heat,0.0
51108 central_heat,eGon2035,51108,central_heat,0.0
51117 central_heat,eGon2035,51117,central_heat,0.0
51123 central_heat,eGon2035,51123,central_heat,0.0
51135 central_heat,eGon2035,51135,central_heat,0.0
51136 central_heat,eGon2035,51136,central_heat,0.0
51150 central_heat,eGon2035,51150,central_heat,0.0
51170 central_heat,eGon2035,51170,central_heat,0.0
51271 central_heat,eGon2035,51271,central_heat,0.0
51275 central_heat,eGon2035,51275,central_heat,0.0
51284 central_heat,eGon2035,51284,central_heat,0.0
51286 central_heat,eGon2035,51286,central_heat,0.0
51349 central_heat,eGon2035,51349,central_heat,0.0
51365 central_heat,eGon2035,51365,central_heat,0.0
51384 central_heat,eGon2035,51384,central_heat,0.0
51387 central_heat,eGon2035,51387,central_heat,0.0
