name,scn_name,bus,carrier,e_nom,e_nom_max,e_initial,capital_cost,e_nom_opt
36178 dsm,eGon2035,36178,dsm,6157.940385799358,inf,0.0,0.0,6157.940385799358
48623 CH4,eGon2035,48623,CH4,103258761.6825082,inf,12528255.924709931,0.0,103258761.6825082
48624 CH4,eGon2035,48624,CH4,7796579.6970679015,inf,3348663.6214845655,0.0,7796579.6970679015
48626 CH4,eGon2035,48626,CH4,16558557.363773989,inf,6595482.780534872,0.0,16558557.363773989
48627 CH4,eGon2035,48627,CH4,4467164.898,inf,2002316.5121116545,0.0,4467164.898
48628 CH4,eGon2035,48628,CH4,110961282.95347735,inf,13032559.145667717,0.0,110961282.95347735
48629 CH4,eGon2035,48629,CH4,45093072.66459372,inf,10586340.80290604,0.0,45093072.66459372
48631 CH4,eGon2035,48631,CH4,98781272.36350779,inf,11390322.102676839,0.0,98781272.36350779
48633 CH4,eGon2035,48633,CH4,40085545.400267825,inf,9623990.01003457,0.0,40085545.400267825
48634 CH4,eGon2035,48634,CH4,3268835.936014453,inf,1465695.9884991555,0.0,3268835.936014453
48637 H2_underground,eGon2035,48637,H2_underground,204.1831362554596,8116755.1567234825,0.0,1.6909409352096185,204.1831362554596
63566 central_heat_store,eGon2035,63566,central_heat_store,74.17858792272861,inf,36.42555711459612,0.7075806700525911,74.17858792272861
63629 central_heat_store,eGon2035,63629,central_heat_store,74.72502858696323,inf,37.004322953425216,0.7075806700525911,74.72502858696323
63635 central_heat_store,eGon2035,63635,central_heat_store,74.75176211754402,inf,36.38807940792547,0.7075806700525911,74.75176211754402
63674 central_heat_store,eGon2035,63674,central_heat_store,73.51102994776272,inf,35.53738370327508,0.7075806700525911,73.51102994776272
63742 central_heat_store,eGon2035,63742,central_heat_store,74.85728987550021,inf,35.88393195730765,0.7075806700525911,74.85728987550021
63760 central_heat_store,eGon2035,63760,central_heat_store,74.74750264580047,inf,37.02906321189917,0.7075806700525911,74.74750264580047
63790 central_heat_store,eGon2035,63790,central_heat_store,74.77057119588574,inf,35.769305874070255,0.7075806700525911,74.77057119588574
63912 central_heat_store,eGon2035,63912,central_heat_store,69.40384171749628,inf,31.67531800262195,0.7075806700525911,69.40384171749628
63919 central_heat_store,eGon2035,63919,central_heat_store,72.33811201964843,inf,34.60966898752958,0.7075806700525911,72.33811201964843
63959 central_heat_store,eGon2035,63959,central_heat_store,73.87050593502993,inf,36.17115841162913,0.7075806700525911,73.87050593502993
63995 central_heat_store,eGon2035,63995,central_heat_store,74.67107864209319,inf,36.87883190801144,0.7075806700525911,74.67107864209319
64000 central_heat_store,eGon2035,64000,central_heat_store,74.75765458150292,inf,37.01075578677137,0.7075806700525911,74.75765458150292
