,0 battery,0 pumped_hydro,1 battery,1 pumped_hydro,10 battery,10 pumped_hydro,11 battery,2 battery,2 pumped_hydro,3 battery,3 pumped_hydro,4 battery,4 pumped_hydro,5 battery,6 battery,6 pumped_hydro,7 battery,7 pumped_hydro,8 battery
0,1196.7465616217405,404.5623609396759,7448.942872088071,8369.280757121069,23.194643799549144,26.23149549761094,1412.2818460538451,812.9069740790784,8179.396532741721,970.7921442037741,941.5858099329336,7823.644276901655,12440.290659534774,583.7206010797022,52779.58124104356,10799.240080669168,19691.042164013612,13358.099625536088,1303.3754522423262
1,1868.1996715303399,493.5791075371866,7025.489873697987,8369.059481776776,329.0963623503803,813.0061100754411,2254.3434786633943,1221.3003496215085,8957.804180953908,1467.0364156663807,1134.3003840316858,15940.628599124968,13647.53865341313,1013.5109354887699,44999.6005173804,10799.01251862232,14640.075303991436,11194.3163193679,2129.7839866566947
2,2479.409926176867,577.4684595886749,6541.9049058326145,8368.888101279264,722.7970615915563,1791.8132096998008,2961.1388059209967,1585.3900853637272,9798.408147885582,1915.4582883039589,1316.5937254862095,29556.21707572781,15038.838577837963,1424.7091682082782,41142.98420904045,10798.832270653533,9589.125486983208,10672.869315083693,2931.622420184206
3,3037.811857139277,657.4660401164199,6391.7902319143195,8368.743618844323,1335.0696411864399,2937.5413615746006,3642.445099744751,1917.4059905303675,10687.470143728424,2327.0379811145935,1493.108516724469,47925.94661962639,16542.809953688993,1806.8898294421213,40677.14799824716,10798.679288022395,9590.17089797098,10673.898784053727,3693.379787789022
4,3564.687752227639,734.9299078617609,6451.247549619229,8368.682372133195,1947.3447583291243,4083.270745556221,4427.611015088511,2230.7959966049048,11507.524180221932,2721.7083679646576,1667.8564533718807,71014.40966506458,17962.46804925558,2214.2153896098043,41578.507838226644,10798.612446498451,12339.60805803381,12246.694278187966,4420.598649672221
5,4087.606722558654,811.329000768606,6920.64878058466,8368.629076767633,2559.6185423369934,5228.9995943173135,5174.036699523421,2536.9533751191216,12362.995254771453,3116.290330524438,1842.7206477387133,97706.00321293379,19381.119611192622,2634.9831987151097,42159.6514699761,10798.552588667153,16802.95266541092,15312.551310583885,5158.717471144001
6,4593.23468624416,887.1752935371536,7280.482759135483,8368.582997034777,2714.2113028471363,5789.96705295751,5712.459871693943,2836.166094379607,13218.424932703238,3503.7184025785646,2018.0264211234232,122390.29317064754,20860.511955812257,3030.2413573414324,43079.36319529273,10798.500183208213,21651.574778418755,18779.805746637252,5868.133474617492
7,5076.586653219806,962.7657859653012,7280.247149590576,8368.497731964806,2812.0699690827364,5958.486280362694,6189.364790834389,3127.1641914124775,14081.117014295238,3881.649014869287,2193.2340927368136,143256.39879724794,22438.876689010274,3391.4196016171572,43078.857813798444,10798.406030952963,26498.079600643177,22244.92049401745,6542.487659106749
8,5526.873303518387,1038.519113519597,7279.820975747272,8368.43687441862,2798.076603450375,5958.70468768769,6631.683973996244,3406.6260547665975,14879.016363322575,4240.132451314174,2366.814000448457,151876.51756930136,23838.993462440747,3706.09603674919,43078.351714945115,10798.339290267455,29684.95173508032,24015.477978577783,7123.736690331844
9,5998.815922895562,1116.6235356152924,7279.244188237709,8368.381700688566,2913.3490093060973,6157.809926011462,7050.1628966098015,3692.033063775199,15714.111591656274,4614.906772045811,2548.2469458118603,160601.84925201666,25287.754146009167,4037.8109298695936,43077.860989785055,10798.278437041925,29694.00304326053,24023.997536106115,7664.55026639287
